Category,Subcategory_Or_Type,Item_Value,Description_Or_Mapping
Manufacturer,Joint,Tyco Raychem,Joint Manufacturer (USA/Germany)
Manufacturer,Joint,ELASTIMOLD,Joint Manufacturer (USA)
Manufacturer,Joint,Arkasil,Joint Manufacturer (Russia/Switzerland)
Manufacturer,Joint,G&W,Joint Manufacturer (USA)
Manufacturer,Joint,Furukawa,Joint Manufacturer (Japan)
Manufacturer,Joint,Nexans,Joint Manufacturer (France)
Manufacturer,Joint,CYG,Joint Manufacturer (China)
Manufacturer,Joint,NKT,Joint Manufacturer (Germany/Denmark)
Manufacturer,Joint,Others,Other Joint Manufacturer
Manufacturer,Joint,Unknown,Unidentified / Missing Nameplate
Manufacturer,GND Link box,Emeleg,Link Box Manufacturer
Manufacturer,GND Link box,U-Electric,Link Box Manufacturer (Thailand)
Manufacturer,GND Link box,Ormazabal,Link Box Manufacturer (Spain)
Manufacturer,GND Link box,Others,Other Link Box Manufacturer
Manufacturer,GND Link box,Unknown,Unidentified / Missing Nameplate
Manufacturer,Lightning Arrester,Siemens,Surge Arrester Manufacturer (Germany)
Manufacturer,Lightning Arrester,Gunkul,Surge Arrester Manufacturer (Thailand)
Manufacturer,Lightning Arrester,TRIDELTA,Surge Arrester Manufacturer (Germany)
Manufacturer,Lightning Arrester,Tyco Raychem,Surge Arrester Manufacturer (USA/Germany)
Manufacturer,Lightning Arrester,ABB,Surge Arrester Manufacturer (Switzerland/Sweden)
Manufacturer,Lightning Arrester,ELPRO,Surge Arrester Manufacturer (Germany)
Manufacturer,Lightning Arrester,Others,Other Arrester Manufacturer
Manufacturer,Lightning Arrester,Unknown,Unidentified / Missing Nameplate
Manufacturer,Heat Shrink Termination,Tyco Raychem,Heat Shrink Termination (USA/Germany)
Manufacturer,Heat Shrink Termination,NKT,Heat Shrink Termination (Germany/Denmark)
Manufacturer,Heat Shrink Termination,Nexans,Heat Shrink Termination (France)
Manufacturer,Heat Shrink Termination,Ikebana,Heat Shrink Termination (Japan/India)
Manufacturer,Heat Shrink Termination,ABB,Heat Shrink Termination (Switzerland/Sweden)
Manufacturer,Heat Shrink Termination,Others,Other Heat Shrink Manufacturer
Manufacturer,Heat Shrink Termination,Unknown,Unidentified / Missing Nameplate
Manufacturer,Plug in Termination,Arkasil,Separable Connector / Plug-in (Russia/Switzerland)
Manufacturer,Plug in Termination,Euromold,Separable Connector / Plug-in (Belgium/Nexans)
Manufacturer,Plug in Termination,NKT,Separable Connector / Plug-in (Germany/Denmark)
Manufacturer,Plug in Termination,ABB,Separable Connector / Plug-in (Switzerland/Sweden)
Manufacturer,Plug in Termination,Nexans,Separable Connector / Plug-in (France)
Manufacturer,Plug in Termination,Tyco Raychem,Separable Connector / Plug-in (USA/Germany)
Manufacturer,Plug in Termination,Others,Other Plug-in Manufacturer
Manufacturer,Plug in Termination,Unknown,Unidentified / Missing Nameplate
Manufacturer,Air Break Switch,COELME,Disconnector Switch Manufacturer (Italy)
Manufacturer,Air Break Switch,Hapam,Disconnector Switch Manufacturer (Netherlands)
Manufacturer,Air Break Switch,S&C,Switchgear Manufacturer (USA)
Manufacturer,Air Break Switch,Others,Other Switch Manufacturer
Manufacturer,Air Break Switch,Unknown,Unidentified / Missing Nameplate
Manufacturer,Dry Type Termination,CENTURAY,Dry Termination Manufacturer (China)
Manufacturer,Dry Type Termination,Tyco Raychem,Dry Termination Manufacturer (USA/Germany)
Manufacturer,Dry Type Termination,Arkasil,Dry Termination Manufacturer (Russia/Switzerland)
Manufacturer,Dry Type Termination,G&W,Dry Termination Manufacturer (USA)
Manufacturer,Dry Type Termination,NKT,Dry Termination Manufacturer (Germany/Denmark)
Manufacturer,Dry Type Termination,CYG,Dry Termination Manufacturer (China)
Manufacturer,Dry Type Termination,Changlan,Dry Termination Manufacturer (China)
Manufacturer,Dry Type Termination,Others,Other Dry Termination Manufacturer
Manufacturer,Dry Type Termination,Unknown,Unidentified / Missing Nameplate
Manufacturer,Ring Main Unit,Schneider Electric,RMU Switchgear Manufacturer (France)
Manufacturer,Ring Main Unit,U-Tah,RMU Switchgear Manufacturer (Thailand)
Manufacturer,Ring Main Unit,ABB,RMU Switchgear Manufacturer (Switzerland/Sweden)
Manufacturer,Ring Main Unit,U-ELECTRIC,RMU Switchgear Manufacturer (Thailand)
Manufacturer,Ring Main Unit,Siemens,RMU Switchgear Manufacturer (Germany)
Manufacturer,Ring Main Unit,Lahmeyer,RMU Switchgear Manufacturer (Germany)
Manufacturer,Ring Main Unit,LUCY,RMU Switchgear Manufacturer (UK)
Manufacturer,Ring Main Unit,PMK,RMU Switchgear Manufacturer (Thailand)
Manufacturer,Ring Main Unit,Ormazabal,RMU Switchgear Manufacturer (Spain)
Manufacturer,Ring Main Unit,Others,Other RMU Manufacturer
Manufacturer,Ring Main Unit,Unknown,Unidentified / Missing Nameplate
Manufacturer,Unit Substation,Schneider Electric,Unit Substation Manufacturer (France)
Manufacturer,Unit Substation,U-Tah,Unit Substation Manufacturer (Thailand)
Manufacturer,Unit Substation,ABB,Unit Substation Manufacturer (Switzerland/Sweden)
Manufacturer,Unit Substation,U-ELECTRIC,Unit Substation Manufacturer (Thailand)
Manufacturer,Unit Substation,Siemens,Unit Substation Manufacturer (Germany)
Manufacturer,Unit Substation,Lahmeyer,Unit Substation Manufacturer (Germany)
Manufacturer,Unit Substation,LUCY,Unit Substation Manufacturer (UK)
Manufacturer,Unit Substation,PMK,Unit Substation Manufacturer (Thailand)
Manufacturer,Unit Substation,Ormazabal,Unit Substation Manufacturer (Spain)
Manufacturer,Unit Substation,Others,Other Substation Manufacturer
Manufacturer,Unit Substation,Unknown,Unidentified / Missing Nameplate
Manufacturer,HV ATS,Schneider Electric,HV ATS Manufacturer (France)
Manufacturer,HV ATS,AVATAR,HV ATS Manufacturer
Manufacturer,HV ATS,Others,Other HV ATS Manufacturer
Manufacturer,HV ATS,Unknown,Unidentified / Missing Nameplate
Manufacturer,LV ATS,Schneider Electric,LV ATS Manufacturer (France)
Manufacturer,LV ATS,AVATAR,LV ATS Manufacturer
Manufacturer,LV ATS,Others,Other LV ATS Manufacturer
Manufacturer,LV ATS,Unknown,Unidentified / Missing Nameplate
Manufacturer,Distribution Circuit,Combine Product,Distribution Circuit Manufacturer
Manufacturer,Distribution Circuit,Others,Other Distribution Manufacturer
Manufacturer,Distribution Circuit,Unknown,Unidentified / Missing Nameplate
Country of Origin,Primary,Thailand,Primary Southeast Asia Origin
Country of Origin,Primary,China,Primary Asian Manufacturing Origin
Country of Origin,Primary,Germany,Primary European Engineering Origin
Country of Origin,Primary,United State of America,North American Manufacturing Origin
Country of Origin,Primary,United States,North American Manufacturing Origin
Country of Origin,Primary,Switzerland,European Precision Engineering Origin
Country of Origin,Primary,Russia,Eurasian Manufacturing Origin
Country of Origin,Primary,Sweden,Nordic Engineering Origin
Country of Origin,Primary,Denmark,Nordic Engineering Origin
Country of Origin,Primary,India,South Asian Manufacturing Origin
Country of Origin,Primary,France,European Manufacturing Origin
Country of Origin,Primary,United Kingdom,European Manufacturing Origin
Country of Origin,Primary,Japan,East Asian Precision Engineering Origin
Country of Origin,International,Australia,Oceania
Country of Origin,International,Austria,Europe
Country of Origin,International,Belgium,Europe
Country of Origin,International,Brazil,South America
Country of Origin,International,Canada,North America
Country of Origin,International,Czech Republic,Europe
Country of Origin,International,Finland,Europe
Country of Origin,International,Indonesia,Southeast Asia
Country of Origin,International,Italy,Europe
Country of Origin,International,Malaysia,Southeast Asia
Country of Origin,International,Netherlands,Europe
Country of Origin,International,Norway,Europe
Country of Origin,International,Poland,Europe
Country of Origin,International,Singapore,Southeast Asia
Country of Origin,International,South Korea,East Asia
Country of Origin,International,Spain,Europe
Country of Origin,International,Taiwan,East Asia
Country of Origin,International,Vietnam,Southeast Asia
Country of Origin,Fallback,Others,Other International Country
Country of Origin,Fallback,Unknown,Unidentified Country
Tan Delta Result,,No Action Required,Normal dielectric loss characteristics
Tan Delta Result,,Action Required,Elevated dielectric loss requiring maintenance
Tan Delta Result,,Further Study Advised,Borderline dielectric degradation observed
Tan Delta Result,,No record,No Tan Delta measurement recorded
Partial Discharge (PD) Result,,None,No Partial Discharge activity detected
Partial Discharge (PD) Result,,Corona,Discharge into surrounding air/gas
Partial Discharge (PD) Result,,Surface,Surface tracking across insulation boundary
Partial Discharge (PD) Result,,Internal,Internal insulation void/cavity discharge
Partial Discharge (PD) Result,,Floating,Floating metal electrode discharge
Partial Discharge (PD) Result,,Void,Gas cavity discharge within solid dielectric
Partial Discharge (PD) Result,,Treeing,Electrical tree growth prior to breakdown
PRPD Phase,,Phase A,Phase A (Red)
PRPD Phase,,Phase B,Phase B (Yellow)
PRPD Phase,,Phase C,Phase C (Blue)
PRPD Phase,,3-Phase,All Three Phases Combined
PRPD Channel,,Channel 1,HFCT Sensor Channel 1
PRPD Channel,,Channel 2,HFCT Sensor Channel 2
PRPD Channel,,Channel 3,HFCT Sensor Channel 3
PRPD Channel,,Channel 4,HFCT Sensor Channel 4
PRPD Channel,,Channel 5,HFCT Sensor Channel 5
PRPD Channel,,Channel 6,HFCT Sensor Channel 6
Health Status Grade,,Green,Score 85 - 100: Normal Condition
Health Status Grade,,Yellow,Score 70 - 84: Moderate Aging / Monitor
Health Status Grade,,Orange,Score 50 - 69: Warning / Schedule Maintenance
Health Status Grade,,Red,Score < 50: Critical / Immediate Action
User Role,,Local Operator,Field engineer / Data registrar
User Role,,Manager,Regional manager / Approver
User Role,,Admin,System administrator
User Role,,User,General view-only user
